caller	site	target	edge_kind	confidence	evidence
80019598	80019968	80026c2c	direct_ghidra	confirmed_static	calls.tsv
80019b60	80019b6c	80042ec8	direct_ghidra	confirmed_static	calls.tsv
80019c58	80019c90	8002ceb8	direct_ghidra	confirmed_static	calls.tsv
8001b05c	8001b074	80087858	direct_ghidra	confirmed_static	calls.tsv
8001b05c	8001b080	80087838	direct_ghidra	confirmed_static	calls.tsv
8001b05c	8001b08c	80085558	direct_ghidra	confirmed_static	calls.tsv
8001b05c	8001b0e4	80087838	direct_ghidra	confirmed_static	calls.tsv
8001b100	8001b1e4	800434a8	direct_ghidra	confirmed_static	calls.tsv
8001b100	8001b260	800434bc	direct_ghidra	confirmed_static	calls.tsv
8001b100	8001b32c	800361d8	direct_ghidra	confirmed_static	calls.tsv
8001b100	8001b338	80039770	direct_ghidra	confirmed_static	calls.tsv
8001b100	8001b3bc	800360d8	direct_ghidra	confirmed_static	calls.tsv
8001b100	8001b3d8	80036f7c	direct_ghidra	confirmed_static	calls.tsv
8001b100	8001b400	80040204	direct_ghidra	confirmed_static	calls.tsv
8001b100	8001b43c	8001b05c	direct_ghidra	confirmed_static	calls.tsv
8001b100	8001b44c	800434a8	direct_ghidra	confirmed_static	calls.tsv
8001b100	8001b478	80043560	direct_ghidra	confirmed_static	calls.tsv
8001b100	8001b504	80024df0	direct_ghidra	confirmed_static	calls.tsv
8001b100	8001b554	80040690	direct_ghidra	confirmed_static	calls.tsv
8001b100	8001b570	80018010	direct_ghidra	confirmed_static	calls.tsv
8001b100	8001b580	800434a8	direct_ghidra	confirmed_static	calls.tsv
8001b100	8001b59c	80043560	direct_ghidra	confirmed_static	calls.tsv
8001b100	8001b5cc	80040204	direct_ghidra	confirmed_static	calls.tsv
8001b100	8001b5ec	800250d8	direct_ghidra	confirmed_static	calls.tsv
8001b100	8001b648	8001f2c4	direct_ghidra	confirmed_static	calls.tsv
8001b100	8001b658	8002c860	direct_ghidra	confirmed_static	calls.tsv
8001b100	8001b688	80040204	direct_ghidra	confirmed_static	calls.tsv
8001b720	8001b76c	80040350	direct_ghidra	confirmed_static	calls.tsv
8001b720	8001b778	800403d0	direct_ghidra	confirmed_static	calls.tsv
8001b720	8001b7c8	80040844	direct_ghidra	confirmed_static	calls.tsv
8001b720	8001b7d0	80042c48	direct_ghidra	confirmed_static	calls.tsv
8001b720	8001b7f0	80042c1c	direct_ghidra	confirmed_static	calls.tsv
8001b720	8001b80c	80040204	direct_ghidra	confirmed_static	calls.tsv
8001ba64	8001bc0c	80024a9c	direct_ghidra	confirmed_static	calls.tsv
8001ba64	8001bc28	80017f94	direct_ghidra	confirmed_static	calls.tsv
8001ba64	8001bc34	80040690	direct_ghidra	confirmed_static	calls.tsv
