global	function	access
DAT_800113F8	80050f78	read
DAT_800113FC	80050f78	read
DAT_80011400	80050f78	read
DAT_80011404	80050f78	read
DAT_80011408	80050f78	read
DAT_8001140C	80050f78	read
DAT_80011410	80050f78	read
DAT_80011820	8006b5b4	read
DAT_80011824	8006b5b4	read
DAT_80011828	8006b5b4	read
DAT_8001182C	8006b5b4	read
DAT_80011830	8006c9a8	read
DAT_80011834	8006c9a8	read
DAT_80011838	8006c9a8	read
DAT_8001183C	8006c9a8	read
DAT_80011840	8006d3a4	read
DAT_80011844	8006d3a4	read
DAT_80011848	8006d3a4	read
DAT_8001184C	8006d3a4	read
DAT_80011850	8006f7e0	read
DAT_80011854	8006f7e0	read
DAT_80011858	8006f7e0	read
DAT_8001185C	8006f7e0	read
DAT_80011F74	8007dff0	read
DAT_80011F78	8007dff0	read
DAT_80011F7A	8007dff0	read
DAT_8001216C	8007fccc	read
DAT_80012530	8008cffc	read
DAT_80012534	8008cffc	read
DAT_80012535	8008cffc	read
DAT_8001286C	80090cf8	read
DAT_80089B54	80089aa8	read
DAT_80089B6C	80089aa8	read
DAT_8008B4DC	8008b678	read
DAT_8008B54C	8008b574	read
DAT_8008B54C	8008b678	read
DAT_8008B560	8008b574	read
DAT_8008B560	8008b608	read
DAT_8008B728	8008b6b8	read
DAT_8008F314	8008f328	read
DAT_800918E8	800128cc	read_write
DAT_800918E8	8001296c	write
DAT_800918EC	800128cc	write
DAT_800918F0	800128cc	write
DAT_800919B4	8001d5d0	read
DAT_800919B4	8002367c	read
DAT_800919B4	80023dc4	read
DAT_800919D4	8001ba64	read
DAT_800919E0	80016f50	read
DAT_800919E0	8001798c	read
DAT_800919E0	8001b8ac	read
DAT_800919E0	8001d5d0	read
DAT_800919E0	8001f030	read
DAT_800919E0	8002314c	read
DAT_800919E0	80023548	read
DAT_800919E0	8002416c	read
DAT_800919E0	800250d8	read
DAT_800919E0	8002543c	read
DAT_800919E0	80025850	read
DAT_800919E0	80025c9c	read
DAT_800919E0	80025fec	read
DAT_800919E0	80026adc	read
DAT_800919E0	80027814	read
DAT_800919E0	80027928	read
DAT_800919E0	80027a44	read
DAT_800919E5	800256ac	read
DAT_800919E5	80025a1c	read
DAT_800919E5	80025de0	read
DAT_800919E7	80027814	read
DAT_800919E7	80027928	read
DAT_800919EA	8001d5d0	read
DAT_800919EA	80026180	read
DAT_80091A08	800235a0	read
DAT_80091A08	80023dc4	read
DAT_80091A08	800256ac	read
DAT_80091A08	80025a1c	read
DAT_80091A08	80026180	read
DAT_80091A0A	800235a0	read
DAT_80091A0A	80023dc4	read
DAT_80091A0A	800256ac	read
DAT_80091A0A	80025a1c	read
DAT_80091A0A	80026180	read
DAT_80091A0A	80026adc	read
DAT_80091AA8	8001b05c	read
DAT_80091AA8	80024df0	read
DAT_80091AAA	8001b05c	read
DAT_80091AAA	80024df0	read
DAT_80091AC0	800223b0	read
DAT_80091AC2	800223b0	read
DAT_80091B30	80020eb0	read
DAT_80091E64	8002543c	read
DAT_80091EEC	80026bbc	read
DAT_80091F68	8002dbe0	read
DAT_80091F6A	8002dbe0	read
DAT_80091F6C	800393b8	read
DAT_80091FC0	8002e3c0	read
DAT_80091FC1	8002e3c0	read
DAT_80092018	8002e3c0	read
DAT_80092019	8002e3c0	read
DAT_8009201A	8002e3c0	read
DAT_8009201B	8002e3c0	read
DAT_8009201C	8002e3c0	read
DAT_8009201D	8002e3c0	read
DAT_80092214	80031b58	read
DAT_80092214	8006ab9c	read
DAT_80092215	80032824	read
DAT_80092215	800335b8	read
DAT_80092225	80032824	read
DAT_80092248	80035ce8	read
DAT_80092264	80035fe8	read
DAT_80092266	80035fe8	read
DAT_800923F8	80041674	read
DAT_80092408	80041674	read
DAT_80092454	8004f1b4	read
DAT_80092454	8004f28c	read
DAT_80092454	8004f5d8	read
DAT_80092456	8004f28c	read
DAT_80092456	8004f5d8	read
DAT_80092458	8004f28c	read
DAT_80092458	8004f5d8	read
DAT_800924CC	800563b0	read
DAT_8009256C	8005967c	read
DAT_800929AC	8005721c	read
DAT_800929CC	80051af4	read
DAT_800929D4	8006a884	read
DAT_800929D6	8006a884	read
DAT_80092A08	8006b5b4	read
DAT_80092A0E	8006b5b4	read
DAT_80092A14	8006b5b4	read
DAT_80092A1A	8006b5b4	read
DAT_80092A1C	8006b5b4	read
DAT_80092A20	8006b5b4	read
DAT_80092A24	8006c9a8	read
DAT_80092A28	8006c9a8	read
DAT_80092A2A	8006c9a8	read
DAT_80092A30	8006d3a4	read
